Time[s],Item,Data,Remark
2.2713947000,Preamble
2.2715993000,SOP',,
2.2716632000,Header,0x108F,DataObject:1 DFP/UFP V3 Vendor_Defined
2.2717270000,PayLoad[0],0xFF00A801,
2.2718548000,CRC32,0x7C11141C
2.2719826000,EOP,
2.2720851000,Preamble
2.2723004000,SOP',,
2.2723679000,Header,0x0141,DataObject:0 CablePlug GoodCRC
2.2724353000,CRC32,0xDFBC5C2D
2.2725703000,EOP,
2.2762607000,Preamble
2.2764764000,SOP',,
2.2765439000,Header,0x518F,DataObject:5 CablePlug V3 Vendor_Defined
2.2766114000,PayLoad[0],0xFF00A041,
2.2767464000,PayLoad[1],0x1860315C,
2.2768814000,PayLoad[2],0x00001094,
2.2770163000,PayLoad[3],0x00000000,
2.2771512000,PayLoad[4],0x000A4640,
2.2772861000,CRC32,0x430C90D0
2.2774211000,EOP,
2.2775619000,Preamble
2.2777665000,SOP',,
2.2778303000,Header,0x0001,DataObject:0 DFP/UFP GoodCRC
2.2778942000,CRC32,0x58C223BE
2.2780220000,EOP,
2.2824256000,Preamble
2.2826302000,SOP,,
2.2826941000,Header,0x71A1,DataObject:7 Source V3 DFP Source_Capabilities
2.2827580000,PayLoad[0],0x2801912C,V:5V Imax:3A
2.2828858000,PayLoad[1],0x0002D12C,V:9V Imax:3A
2.2830135000,PayLoad[2],0x0003C12C,V:12V Imax:3A
2.2831413000,PayLoad[3],0x0004B10A,V:15V Imax:2.66A
2.2832691000,PayLoad[4],0x000640C8,V:20V Imax:2A
2.2833969000,PayLoad[5],0xC9403232,Vmax:16V Vmin:5V Imax:2.5A
2.2835247000,PayLoad[6],0xE00428C8,
2.2836525000,CRC32,0x944723DB
2.2837803000,EOP,
2.2838357000,Preamble
2.2840492000,SOP,,
2.2841159000,Header,0x0041,DataObject:0 Sink UFP GoodCRC
2.2841826000,CRC32,0xA8BB6CBB
2.2843161000,EOP,
2.2951243000,Preamble
2.2953380000,SOP,,
2.2954047000,Header,0x10C2,DataObject:1 Sink UFP Request
2.2954714000,PayLoad[0],0x73064028,PD3#7
2.2956049000,CRC32,0x0748048F
2.2957383000,EOP,
2.2958789000,Preamble
2.2960835000,SOP,,
2.2961473000,Header,0x0121,DataObject:0 Source DFP GoodCRC
2.2962112000,CRC32,0xBA41378A
2.2963390000,EOP,
2.3026750000,Preamble
2.3028796000,SOP,,
2.3029435000,Header,0x03A3,DataObject:0 Source V3 DFP Accept
2.3030074000,CRC32,0x5DFAAC6F
2.3031352000,EOP,
2.3031908000,Preamble
2.3034044000,SOP,,
2.3034711000,Header,0x0241,DataObject:0 Sink UFP GoodCRC
2.3035378000,CRC32,0x46B50D97
2.3036714000,EOP,
2.5644269000,Preamble
2.5646315000,SOP,,
2.5646954000,Header,0x05A6,DataObject:0 Source V3 DFP PS_RDY
2.5647592000,CRC32,0xC9EEFD1F
2.5648871000,EOP,
2.5649423000,Preamble
2.5651559000,SOP,,
2.5652227000,Header,0x0441,DataObject:0 Sink UFP GoodCRC
2.5652894000,CRC32,0xAFD6A8A2
2.5654230000,EOP,
