Time[s],Item,Data,Remark
3.7015555000,Preamble
3.7017600000,SOP',,
3.7018239000,Header,0x108F,DataObject:1 DFP/UFP V3 Vendor_Defined
3.7018878000,PayLoad[0],0xFF00A801,
3.7020156000,CRC32,0x7C11141C
3.7021434000,EOP,
3.7022469000,Preamble
3.7024625000,SOP',,
3.7025301000,Header,0x0141,DataObject:0 CablePlug GoodCRC
3.7025976000,CRC32,0xDFBC5C2D
3.7027327000,EOP,
3.7064283000,Preamble
3.7066442000,SOP',,
3.7067118000,Header,0x518F,DataObject:5 CablePlug V3 Vendor_Defined
3.7067793000,PayLoad[0],0xFF00A041,
3.7069145000,PayLoad[1],0x1860315C,
3.7070497000,PayLoad[2],0x00001094,
3.7071848000,PayLoad[3],0x00000000,
3.7073200000,PayLoad[4],0x000A4640,
3.7074552000,CRC32,0x430C90D0
3.7075903000,EOP,
3.7077318000,Preamble
3.7079364000,SOP',,
3.7080004000,Header,0x0001,DataObject:0 DFP/UFP GoodCRC
3.7080643000,CRC32,0x58C223BE
3.7081922000,EOP,
3.7131690000,Preamble
3.7133736000,SOP,,
3.7134375000,Header,0x71A1,DataObject:7 Source V3 DFP Source_Capabilities
3.7135014000,PayLoad[0],0x2801912C,V:5V Imax:3A
3.7136292000,PayLoad[1],0x0002D12C,V:9V Imax:3A
3.7137571000,PayLoad[2],0x0003C12C,V:12V Imax:3A
3.7138848000,PayLoad[3],0x0004B10A,V:15V Imax:2.66A
3.7140127000,PayLoad[4],0x000640C8,V:20V Imax:2A
3.7141405000,PayLoad[5],0xC9403232,Vmax:16V Vmin:5V Imax:2.5A
3.7142683000,PayLoad[6],0xE00428C8,
3.7143961000,CRC32,0x944723DB
3.7145239000,EOP,
3.7145795000,Preamble
3.7147930000,SOP,,
3.7148598000,Header,0x0041,DataObject:0 Sink UFP GoodCRC
3.7149265000,CRC32,0xA8BB6CBB
3.7150600000,EOP,
3.7258384000,Preamble
3.7260522000,SOP,,
3.7261190000,Header,0x1042,DataObject:1 Sink V2 UFP Request
3.7261857000,PayLoad[0],0x7784B028,PD3#7
3.7263192000,CRC32,0xA2E45D57
